,"Preferences",,,,"Whats Visible in GUI","Space separated keywords","Manual Description","Lua Action","Lua Action Description","Lua Function","Lua Function Description","Lua URI","Lua URI Description"
,,,,,,,,,,,,,
"General","Audio/MIDI Setup","Show Audio/MIDI Setup window",,,,,,,,,,,
"General","Audio/MIDI Setup","Try to auto-launch audio/midi engine",,,,,,,,,,,
"General","Editor Undo","Limit undo history",,,,,,,,,,,
"General","Editor Undo","Save undo history",,,,,,,,,,,
"General","Editor Undo","Verify removal of last capture",,,,,,,,,,,
"General","Session Management","Make periodic backups of the session file",,,,,,,,,,,
"General","Session Management","Default folder for new sessions",,,,,,,,,,,
"General","Session Management","Maximum number of recent sessions",,,,,,,,,,,
"General","Import","Drag and drop import always copies files to session",,,,,,,,,,,
"General","Import","Cache Folder for downloaded Freesound clips",,,,,,,,,,,
"General","Export","Save loudness analysis as image file after export",,,,,,,,,,,
"General","Export","Save Mixer screenshot after export",,,,,,,,,,,
"General","New Version Check","Check for announcements at application start",,,,,,,,,,,
,,,,,,,,,,,,,
"Appearance","GUI Lock","Lock timeout (seconds)",,,,,,,,,,,
"Appearance","GUI Lock","System Screensaver Mode",,,,,,,,,,,
"Appearance","Theme","Draw flat buttons",,,,,,,,,,,
"Appearance","Theme","Draw boxy buttons",,,,,,,,,,,
"Appearance","Theme","LED meter style",,,,,,,,,,,
"Appearance","Theme","Icon Set",,,,,,,,,,,
"Appearance","Graphical User Interface","Highlight widgets on mouseover",,,,,,,,,,,
"Appearance","Graphical User Interface","Show tooltips if mouse hovers over a control",,,,,,,,,,,
"Appearance","Graphical User Interface","Update clocks at TC Frame rate",,,,,,,,,,,
"Appearance","Graphical User Interface","Blink Rec-Arm buttons",,,,,,,,,,,
"Appearance","Graphical User Interface","Blink Alert indicators",,,,,,,,,,,
"Appearance","Graphics Acceleration","Disable Graphics Hardware Acceleration (requires restart)",,,,,,,,,,,
,,,,,,,,,,,,,
"Appearance","Recorder","Input Meter Layout","Input Meter Layout",,,,,,,,,,
"Appearance","Editor","General","Use name highlight bars in region ",,,,,,,,,,
"Appearance","Editor","General","Region color follows track color",,,,,,,,,,
"Appearance","Editor","General","Show Region Names",,,,,,,,,,
"Appearance","Editor","General","Waveforms color gradient depth",,,,,,,,,,
"Appearance","Editor","General","Timeline item gradient depth",,,,,,,,,,
"Appearance","Editor","General","Track name ellipsize mode","Ellipsize start of name",,,,,,,,,
"Appearance","Editor","General","Track name ellipsize mode","Ellipsize middle of name",,,,,,,,,
"Appearance","Editor","General","Track name ellipsize mode","Ellipsize end of name",,,,,,,,,
"Appearance","Editor","General","Add a visual gap below Audio Regions",,,,,,,,,,
"Appearance","Editor","Waveforms","Show waveforms in regions",,,,,,,,,,
"Appearance","Editor","Waveforms","Show waveforms while recording",,,,,,,,,,
"Appearance","Editor","Waveforms","Show waveform clipping",,,,,,,,,,
